,time_seconds,Accelaration in G Frontal,Accelaration in G Vertical,Accelaration in G Lateral,ID Antenna Sensor,RSSI,Phase,Frequency,Activity
0,0.5,0.27203,1.0082,-0.082102,1,-63.0,4.7369,921.75,1
1,1.5,0.44791,0.91636,-0.013684,1,-63.5,3.0311,923.75,1
2,1.75,0.44791,0.91636,-0.013684,1,-63.0,2.0371,921.25,1
3,2.5,0.34238,0.96229,-0.059296,1,-63.5,5.892,920.25,1
4,3.25,0.34238,0.96229,-0.059296,4,-56.5,1.2563,924.75,1
5,4.0,0.30721,0.99674,-0.070699,1,-63.5,3.8718,922.75,1
6,5.0,0.27203,0.99674,-0.093505,1,-64.0,2.4943,924.25,1
7,5.5,0.23685,1.0312,-0.12771,1,-64.5,2.008,924.75,1
8,6.0,0.23685,1.0312,-0.12771,1,-66.0,1.1904,925.75,1
9,6.5,0.23685,1.0312,-0.12771,1,-63.0,0.61206,922.75,1
10,6.75,0.23685,1.0312,-0.12771,1,-65.0,1.6506,925.25,1
11,7.75,0.31893,0.99674,-0.070699,1,-62.0,4.8075,921.75,1
12,8.0,0.31893,0.99674,-0.070699,4,-56.5,4.5252,924.75,1
13,9.0,0.47136,0.92784,-0.0022806,1,-62.5,3.8135,922.75,1
14,9.75,0.40101,0.93932,-0.025087,1,-64.0,2.413,924.25,1
15,10.0,0.40101,0.93932,-0.025087,1,-62.5,1.5309,921.75,1
16,10.5,0.40101,0.93932,-0.025087,1,-64.5,5.2247,924.75,1
17,10.75,0.40101,0.93932,-0.025087,4,-58.0,0.50468,925.75,1
18,12.0,0.30721,0.99674,-0.070699,1,-64.0,2.462,924.25,1
19,12.5,0.30721,0.99674,-0.070699,1,-63.0,5.9089,920.25,1
20,13.0,0.30721,0.99674,-0.070699,1,-64.0,1.9926,924.75,1
21,14.0,0.41273,0.93932,-0.0022806,1,-62.0,1.9221,921.25,1
22,15.25,0.27203,1.0082,-0.10491,4,-57.0,1.3714,924.75,1
23,15.5,0.27203,1.0082,-0.10491,1,-62.0,1.0845,922.25,1
24,16.5,0.24858,1.0312,-0.093505,1,-65.0,4.5697,925.25,1
25,17.5,0.2603,1.0197,-0.10491,1,-62.5,1.5064,921.75,1
26,18.5,0.31893,0.99674,-0.070699,1,-64.0,5.9963,923.75,1
27,18.75,0.31893,0.99674,-0.070699,1,-62.0,1.9205,921.25,1
28,19.25,0.31893,0.99674,-0.070699,1,-62.5,2.2764,920.75,1
29,20.0,0.43619,0.91636,0.0091224,1,-63.0,6.2663,923.25,1
30,21.0,0.47136,0.92784,0.020525,1,-64.0,2.8532,923.75,1
31,22.75,0.2134,1.0312,-0.12771,1,-64.5,4.9087,924.75,1
32,23.0,0.2134,1.0312,-0.12771,4,-57.5,0.54763,925.75,1
33,23.25,0.2134,1.0312,-0.12771,1,-63.5,5.7724,923.75,1
34,24.5,0.23685,1.0197,-0.10491,1,-62.5,5.6635,920.25,1
35,26.25,0.23685,1.0197,-0.10491,1,-62.0,4.8934,921.25,1
36,27.75,0.20168,1.0312,-0.11631,1,-62.5,0.84522,922.25,1
37,28.5,0.50654,0.91636,0.020525,1,-62.5,1.7518,921.25,1
38,29.0,0.50654,0.91636,0.020525,1,-62.0,5.3214,920.75,1
39,29.5,0.50654,0.91636,0.020525,1,-62.5,2.5541,920.25,1
40,29.75,0.50654,0.91636,0.020525,1,-63.0,6.2341,923.25,1
41,30.5,0.42446,0.91636,-0.0022806,1,-59.5,0.20555,923.75,1
42,30.75,0.42446,0.91636,-0.0022806,1,-58.5,1.2809,922.75,1
43,31.75,0.24858,1.0082,-0.16192,1,-59.5,6.2004,920.25,1
44,32.5,0.34238,0.97377,-0.047893,1,-59.5,1.3867,922.25,1
45,33.0,0.34238,0.97377,-0.047893,1,-61.5,6.2387,923.75,1
46,33.5,0.30721,0.97377,-0.03649,1,-63.0,1.7671,925.25,1
47,34.0,0.15478,1.0197,-0.13912,1,-61.5,2.6323,924.25,1
48,34.5,0.15478,1.0197,-0.13912,1,-60.0,1.8024,921.75,1
49,35.5,0.56517,0.87042,0.11175,4,-57.0,4.5636,923.75,1
50,35.6,0.56517,0.87042,0.11175,3,-57.0,6.0377,922.75,1
51,35.75,0.56517,0.87042,0.11175,1,-65.5,4.5437,922.75,1
52,36.25,0.56517,0.87042,0.11175,4,-60.0,4.5789,920.75,1
53,37.0,0.56517,0.87042,0.11175,1,-58.5,1.985,921.75,1
54,37.75,1.0694,0.29627,-0.013684,4,-67.0,1.0324,925.75,3
55,38.0,1.0694,0.29627,-0.013684,3,-50.0,5.0928,923.75,3
56,38.1,1.0694,0.29627,-0.013684,4,-67.0,5.7984,923.75,3
57,38.5,0.82312,-0.071196,-0.10491,3,-53.0,0.47707,925.25,3
58,38.75,1.0576,-0.28938,-0.03649,3,-50.5,0.046019,920.75,3
59,38.85,1.0576,-0.28938,-0.03649,3,-52.0,0.9434,924.25,3
60,39.25,1.1632,-0.27789,-0.059296,3,-50.5,5.6159,921.75,3
61,39.35,1.1632,-0.27789,-0.059296,4,-64.5,1.6858,921.75,3
62,39.75,0.9052,-0.20899,-0.15052,4,-67.5,4.5989,924.75,3
63,40.25,1.1397,-0.27789,-0.070699,3,-51.5,1.0907,923.75,3
64,40.5,0.92865,-0.19751,-0.16192,4,-65.5,0.37583,922.75,3
65,41.5,0.91693,-0.19751,-0.16192,3,-50.0,0.13652,920.25,3
66,41.6,0.91693,-0.19751,-0.16192,4,-66.5,6.0822,920.25,3
67,42.0,1.3156,-0.34679,-0.013684,3,-51.0,4.4915,923.25,3
68,42.25,0.9052,-0.19751,-0.16192,4,-68.0,1.2947,924.75,3
69,42.5,0.9052,-0.19751,-0.16192,4,-65.5,0.80687,922.25,3
70,43.0,1.2452,-0.34679,-0.025087,3,-50.5,4.7615,922.75,3
71,43.1,1.2452,-0.34679,-0.025087,3,-50.5,4.7691,922.75,3
72,43.25,0.87003,-0.19751,-0.17333,3,-50.5,5.7264,921.25,3
73,43.35,0.87003,-0.19751,-0.17333,4,-65.5,1.8929,921.25,3
74,43.5,0.9521,-0.18603,-0.15052,3,-50.5,6.0776,920.75,3
75,44.0,0.87003,-0.20899,-0.17333,3,-50.5,0.1534,920.25,3
76,44.1,0.87003,-0.20899,-0.17333,4,-67.5,6.0868,920.25,3
77,44.25,0.87003,-0.20899,-0.17333,4,-66.0,1.4021,921.75,3
78,44.5,0.89348,-0.19751,-0.16192,4,-69.0,4.513,924.75,3
79,44.75,0.89348,-0.19751,-0.16192,3,-50.5,5.0468,922.25,3
80,45.75,1.0342,-0.20899,-0.12771,3,-50.0,5.7417,921.25,3
81,45.85,1.0342,-0.20899,-0.12771,4,-66.0,1.8623,921.25,3
82,46.0,1.0342,-0.20899,-0.12771,3,-50.0,6.0945,920.75,3
83,46.25,1.3156,-0.36976,-0.013684,4,-67.5,4.941,924.25,3
84,46.5,0.92865,-0.18603,-0.15052,3,-50.0,5.3996,921.75,3
85,46.575,0.92865,-0.18603,-0.15052,4,-66.0,1.3514,921.75,3
86,47.25,1.0342,-0.23196,-0.11631,4,-66.0,0.84676,922.25,3
87,47.5,1.0342,-0.23196,-0.11631,3,-51.5,1.0124,923.75,3
88,47.575,1.0342,-0.23196,-0.11631,4,-67.0,5.4809,923.75,3
89,48.0,0.9052,-0.19751,-0.17333,4,-66.5,0.23163,922.75,3
90,48.5,1.1514,-0.30086,-0.047893,3,-50.5,6.0669,920.75,3
